Name,User name,Log in,Log out,Cytometer,Serial No.,Duration (in hours)
LSRII,user4,2012-04-06 14:44:36,2012-04-06 17:04:21,LSRII,1,2.3291666667
LSRII,user4,2012-04-06 17:04:37,2012-04-07 17:29:32,LSRII,1,24.4152777778
LSRII,user4,2012-04-07 17:29:49,2012-04-07 17:41:42,LSRII,1,0.1980555556
LSRII,user4,2012-04-07 17:43:54,####-##-## ##:##:##,LSRII,1,N/A
LSRII,user4,2012-04-07 17:51:50,2012-04-07 21:34:23,LSRII,1,3.7091666667
LSRII,user4,2012-04-09 10:06:02,2012-04-09 11:09:28,LSRII,1,1.0572222222
LSRII,user4,2012-04-09 11:09:40,2012-04-09 13:28:30,LSRII,1,2.3138888889
LSRII,user4,2013-09-17 06:50:54,2013-09-17 08:09:48,LSRII,1,1.315
LSRII,user4,2013-09-18 06:52:51,2013-09-18 07:57:07,LSRII,1,1.0711111111
LSRII,user4,2013-09-19 07:18:06,2013-09-19 07:48:11,LSRII,1,0.5013888889
LSRII,user4,2014-01-30 07:53:14,2014-01-30 13:02:35,LSRII,1,5.1558333333
LSRII,user4,2014-01-31 07:49:35,2014-01-31 08:47:57,LSRII,1,0.9727777778
LSRII,user4,2014-01-31 09:10:08,####-##-## ##:##:##,LSRII,1,N/A
LSRII,user4,2014-07-11 07:31:22,2014-07-11 07:50:52,LSRII,1,0.325
LSRII,user5,2012-04-09 13:30:31,2012-04-09 17:03:19,LSRII,1,3.5466666667
LSRII,user5,2012-04-11 10:43:14,2012-04-11 12:47:30,LSRII,1,2.0711111111
LSRII,user5,2012-04-11 12:47:35,2012-04-11 14:04:38,LSRII,1,1.2841666667
LSRII,user5,2012-04-11 14:04:55,2012-04-11 15:43:44,LSRII,1,1.6469444444
LSRII,user5,2012-04-11 15:43:48,2012-04-11 17:07:49,LSRII,1,1.4002777778
LSRII,user5,2012-04-11 17:08:07,2012-04-11 17:10:52,LSRII,1,0.0458333333
LSRII,user5,2013-09-20 07:17:05,2013-09-20 07:42:56,LSRII,1,0.4308333333
LSRII,user5,2013-09-23 07:19:01,2013-09-23 07:54:03,LSRII,1,0.5838888889
LSRII,user5,2013-09-24 07:14:17,2013-09-24 07:52:22,LSRII,1,0.6347222222
LSRII,user5,2013-09-24 13:24:13,2013-09-24 13:25:27,LSRII,1,0.0205555556
LSRII,user5,2014-07-14 07:47:20,2014-07-14 08:44:50,LSRII,1,0.9583333333
LSRII,user5,2014-07-14 09:58:19,2014-07-14 09:58:51,LSRII,1,0.0088888889
LSRII,user5,2014-07-15 07:36:36,2014-07-15 08:08:13,LSRII,1,0.5269444444
LSRII,user6,2012-04-11 17:11:04,2012-04-11 17:36:21,LSRII,1,0.4213888889
LSRII,user6,2012-04-11 17:47:37,2012-04-11 17:52:08,LSRII,1,0.0752777778
LSRII,user6,2012-04-12 13:15:06,2012-04-12 16:38:39,LSRII,1,3.3925
LSRII,user6,2012-04-13 11:15:02,2012-04-13 11:18:36,LSRII,1,0.0594444444
